,name,upjong,address_x,category,rating,평점_건수,평점_합계,평점_평균,평점_표준편차,Column1,address_y,Latitude,Longitude,상태
3464,장짜장,중국식,제주특별자치도 서귀포시 안덕면 녹차분재로 65,안덕면,5.0,12.0,44.0,3.6666666666666665,1.6001893827313256,1162120.0,제주특별자치도 서귀포시 안덕면 녹차분재로 65,33.29081,126.3007,정좌표
3465,제주할망밥상,한식,제주특별자치도 서귀포시 안덕면 화순해안로 89,안덕면,5.0,92.0,446.0,4.8478260869565215,0.4958017728823799,1162144.0,제주특별자치도 서귀포시 안덕면 화순해안로 89,33.24016,126.3357,정좌표
3466,단비식당,한식,제주특별자치도 서귀포시 안덕면 사계남로 212,안덕면,5.0,16.0,76.0,4.75,0.5477225575051662,1162330.0,제주특별자치도 서귀포시 안덕면 사계남로 212,33.2321,126.3089,정좌표
3467,씨엘메르카페,기타,"제주특별자치도 서귀포시 안덕면 난드르로 49-71, 2층",안덕면,4.5,13.0,59.0,4.538461538461538,0.6602252917735248,1162458.0,"제주특별자치도 서귀포시 안덕면 난드르로 49-71, 2층",33.23222,126.367,정좌표
3468,더플레이스제주신화월드점,한식,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층 31호",안덕면,5.0,301.0,1242.0,4.1262458471760795,1.0942313250364526,1162484.0,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층 31호",33.30498,126.3164,정좌표
3469,소봉식당,일식,"제주특별자치도 서귀포시 안덕면 사계로 191, 1층",안덕면,5.0,180.0,798.5,4.436111111111111,0.9320946489025268,1163152.0,"제주특별자치도 서귀포시 안덕면 사계로 191, 1층",33.24697,126.303,정좌표
3470,고래라면신화월드점,분식,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층",안덕면,0.5,96.0,356.5,3.7135416666666665,1.2931902446167498,1163624.0,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층",33.30498,126.3164,정좌표
3471,엠라운지(M Lounge),경양식,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층",안덕면,5.0,2.0,10.0,5.0,0.0,1163824.0,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, 지하1층",33.30498,126.3164,정좌표
3472,83년생김지영,한식,제주특별자치도 서귀포시 안덕면 신화역사로 372-4,안덕면,5.0,13.0,59.5,4.576923076923077,1.1519214716824566,1163828.0,제주특별자치도 서귀포시 안덕면 신화역사로 372-4,33.30914,126.3277,정좌표
3473,산방흑돼지순대,한식,"제주특별자치도 서귀포시 안덕면 사계로114번길 53-27, 1층",안덕면,5.0,58.0,260.5,4.491379310344827,0.6655124612324372,1163854.0,"제주특별자치도 서귀포시 안덕면 사계로114번길 53-27, 1층",33.24406,126.304,정좌표
3474,르피크닉,기타,"제주특별자치도 서귀포시 안덕면 대평로 39, 2층 (라림부띠끄호텔)",안덕면,5.0,40.0,192.0,4.8,0.4909436230624052,1163972.0,"제주특별자치도 서귀포시 안덕면 대평로 39, 2층 (라림부띠끄호텔)",33.23683,126.3629,정좌표
3475,제인피자,한식,제주특별자치도 서귀포시 안덕면 사계북로 157-31,안덕면,5.0,31.0,147.0,4.741935483870968,0.6037517114114528,1164056.0,제주특별자치도 서귀포시 안덕면 사계북로 157-31,33.24068,126.3045,정좌표
3476,동광메밀짬뽕,중국식,제주특별자치도 서귀포시 안덕면 신화역사로 581,안덕면,5.0,41.0,183.0,4.463414634146342,0.9040896243075061,1164118.0,제주특별자치도 서귀포시 안덕면 신화역사로 581,33.31054,126.3498,정좌표
3477,예원이네,한식,제주특별자치도 서귀포시 안덕면 일주서로 1524,안덕면,4.5,301.0,1436.0,4.770764119601329,0.4853957981293606,1164202.0,제주특별자치도 서귀포시 안덕면 일주서로 1524,33.25841,126.353,정좌표
3478,꽃썸피자,경양식,제주특별자치도 서귀포시 안덕면 동광로 151,안덕면,5.0,4.0,19.0,4.75,0.4999999999999999,1164832.0,제주특별자치도 서귀포시 안덕면 동광로 151,33.30974,126.3402,정좌표
3479,제주흑돼지신화,한식,"제주특별자치도 서귀포시 안덕면 한창로 628, 1층",안덕면,5.0,16.0,74.5,4.65625,0.5691733772176394,1164840.0,"제주특별자치도 서귀포시 안덕면 한창로 628, 1층",33.31284,126.3393,정좌표
3480,초밥충전,기타,"제주특별자치도 서귀포시 안덕면 화순로 65, 1층 101호",안덕면,5.0,20.0,84.0,4.2,1.361114094757441,1164872.0,"제주특별자치도 서귀포시 안덕면 화순로 65, 1층 101호",33.24823,126.3389,정좌표
3481,사계풍경포시즌,호프/통닭,"제주특별자치도 서귀포시 안덕면 산방로 232, 1,2층",안덕면,5.0,14.0,65.5,4.678571428571429,0.6078696361108149,1164912.0,"제주특별자치도 서귀포시 안덕면 산방로 232, 1,2층",33.23654,126.3106,정좌표
3482,삼거리농원,한식,제주특별자치도 서귀포시 안덕면 사계남로 235,안덕면,4.0,80.0,364.0,4.55,0.8663907382886804,1164944.0,제주특별자치도 서귀포시 안덕면 사계남로 235,33.23407,126.3082,정좌표
3483,천지연숯화로구이,한식,"제주특별자치도 서귀포시 안덕면 화순로 154-7, 1층",안덕면,5.0,40.0,197.0,4.925,0.24152294576982408,1165112.0,"제주특별자치도 서귀포시 안덕면 화순로 154-7, 1층",33.24742,126.3297,정좌표
3484,서광고깃집,식육(숯불구이),제주특별자치도 서귀포시 안덕면 중산간서로 1875-7,안덕면,5.0,51.0,244.0,4.784313725490196,0.6021204361320441,1165192.0,제주특별자치도 서귀포시 안덕면 중산간서로 1875-7,33.28834,126.3222,정좌표
3485,제주다와카페,기타,"제주특별자치도 서귀포시 안덕면 소기왓로 81-4, 1~2층",안덕면,3.5,1.0,3.5,3.5,,1165308.0,"제주특별자치도 서귀포시 안덕면 소기왓로 81-4, 1~2층",33.24239,126.3681,정좌표
3486,서광보말칼국수,한식,제주특별자치도 서귀포시 안덕면 중산간서로 1882,안덕면,2.0,267.0,1098.0,4.112359550561798,1.3301438859970884,1165310.0,제주특별자치도 서귀포시 안덕면 중산간서로 1882,33.28923,126.322,정좌표
3487,양가네,한식,제주특별자치도 서귀포시 안덕면 동광로 112,안덕면,3.0,1.0,3.0,3.0,,1165870.0,제주특별자치도 서귀포시 안덕면 동광로 112,33.30622,126.3389,정좌표
3488,차일락,한식,"제주특별자치도 서귀포시 안덕면 사계로114번길 68-120, 1층",안덕면,5.0,29.0,127.5,4.396551724137931,0.9390279010842959,1165918.0,"제주특별자치도 서귀포시 안덕면 사계로114번길 68-120, 1층",33.25041,126.3153,정좌표
3489,레이지,기타,제주특별자치도 서귀포시 안덕면 산방로 208,안덕면,5.0,55.0,259.0,4.709090909090909,0.5985391868951928,1166462.0,제주특별자치도 서귀포시 안덕면 산방로 208,33.23644,126.3129,정좌표
3490,스타월드 푸드,기타 휴게음식점,제주특별자치도 서귀포시 안덕면 녹차분재로 218,안덕면,5.0,10.0,40.5,4.05,0.864420165325996,1167146.0,제주특별자치도 서귀포시 안덕면 녹차분재로 218,33.30376,126.3016,정좌표
3491,도도,경양식,제주특별자치도 서귀포시 안덕면 대평감산로 47,안덕면,5.0,157.0,755.5,4.812101910828026,0.49489060154374037,1167166.0,제주특별자치도 서귀포시 안덕면 대평감산로 47,33.23881,126.3657,정좌표
3492,그림책카페노란우산,커피숍,제주특별자치도 서귀포시 안덕면 녹차분재로 32,안덕면,5.0,1.0,5.0,5.0,,1168510.0,제주특별자치도 서귀포시 안덕면 녹차분재로 32,33.28852,126.3028,정좌표
3493,세븐일레븐서귀포안덕사계점,기타 휴게음식점,제주특별자치도 서귀포시 안덕면 사계남로21번길 30-5,안덕면,5.0,9.0,41.5,4.611111111111111,0.485912657903775,1168512.0,제주특별자치도 서귀포시 안덕면 사계남로21번길 30-5,33.23126,126.2962,정좌표
3494,곶자왈카페,커피숍,제주특별자치도 서귀포시 안덕면 한창로 287,안덕면,2.0,7.0,29.0,4.142857142857143,1.4638501094227998,1168532.0,제주특별자치도 서귀포시 안덕면 한창로 287,33.28517,126.3531,정좌표
3495,씨유서귀덕수점,편의점,제주특별자치도 서귀포시 안덕면 덕수서로 7,안덕면,4.0,38.0,166.5,4.381578947368421,0.6413057891680719,1168546.0,제주특별자치도 서귀포시 안덕면 덕수서로 7,33.25108,126.3037,정좌표
3496,세븐일레븐서귀포상창점,기타 휴게음식점,제주특별자치도 서귀포시 안덕면 한창로 128,안덕면,5.0,10.0,44.5,4.45,0.7619419633774973,1168638.0,제주특별자치도 서귀포시 안덕면 한창로 128,33.27411,126.3635,정좌표
3497,산방산용머리휴게소,유원지,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-9,안덕면,5.0,21.0,87.5,4.166666666666667,0.67700320038633,1168658.0,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-9,33.23378,126.3115,정좌표
3498,씨유제주안덕큰길점,일반조리판매,제주특별자치도 서귀포시 안덕면 일주서로 1723,안덕면,3.5,10.0,37.0,3.7,1.0593499054713802,1168702.0,제주특별자치도 서귀포시 안덕면 일주서로 1723,33.25128,126.3337,정좌표
3499,원물휴게소,기타 휴게음식점,제주특별자치도 서귀포시 안덕면 동광로 257,안덕면,4.5,9.0,39.5,4.388888888888889,0.6972166887783962,1168722.0,제주특별자치도 서귀포시 안덕면 동광로 257,33.31809,126.3458,정좌표
3500,어떤바람,커피숍,제주특별자치도 서귀포시 안덕면 산방로 374,안덕면,5.0,38.0,179.0,4.7105263157894735,0.5017749434590743,1168742.0,제주특별자치도 서귀포시 안덕면 산방로 374,33.23155,126.2969,정좌표
