,name,upjong,address_x,category,평점_건수,평점_합계,평점_평균,평점_표준편차,Latitude,Longitude,상태
3759,방모루,일식,"제주특별자치도 제주시 구좌읍 김녕로21길 7, 나동 1층",구좌읍,107,495.5,4.630841121,0.771962852,33.55653,126.7554,정좌표
3760,대왕해물짬뽕라면,까페,"제주특별자치도 제주시 구좌읍 월정1길 70-6, 1층",구좌읍,266,1108.5,4.167293233,1.506345636,33.5569,126.7944,정좌표
3761,어떤날,한식,"제주특별자치도 제주시 구좌읍 행원로 113, 1층",구좌읍,277,1336.5,4.824909747,0.560661239,33.55369,126.8073,정좌표
3762,석다원,한식,"제주특별자치도 제주시 구좌읍 해맞이해안로 1752, 1층",구좌읍,51,212.5,4.166666667,1.121011448,33.52703,126.8891,정좌표
3763,소곱에,분식,"제주특별자치도 제주시 구좌읍 월정3길 53-9, 1층",구좌읍,26,108.0,4.153846154,1.164209867,33.55621,126.7943,정좌표
3764,백록오름,한식,"제주특별자치도 제주시 구좌읍 김녕로 102-1, 1층",구좌읍,264,1286.5,4.873106061,0.548066262,33.55409,126.749,정좌표
3765,또바기,한식,제주특별자치도 제주시 구좌읍 동복로 34,구좌읍,9,40.5,4.5,0.559016994,33.55326,126.7098,정좌표
3766,세화어머니손맛,한식,제주특별자치도 제주시 구좌읍 세평항로 28,구좌읍,4,17.0,4.25,0.5,33.52573,126.8545,정좌표
3767,르토아베이스먼트,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 1226, 1~2층",구좌읍,139,599.5,4.31294964,0.838980967,33.53299,126.8443,정좌표
3768,펠롱펠롱,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 480-1, 110호",구좌읍,7,31.5,4.5,0.763762616,33.55451,126.7982,정좌표
3769,갯동산,기타,"제주특별자치도 제주시 구좌읍 평대7길 55, 2층",구좌읍,60,272.5,4.541666667,0.777281588,33.5328,126.8444,정좌표
3770,월정리콧수염,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 406, 1~2층",구좌읍,85,350.0,4.117647059,1.117094069,33.55925,126.7932,정좌표
3771,월정항아리,기타,"제주특별자치도 제주시 구좌읍 월정5길 38, 1층",구좌읍,241,1196.5,4.96473029,0.157456442,33.55386,126.7952,정좌표
3772,나루터,한식,"제주특별자치도 제주시 구좌읍 김녕로 147, 1층",구좌읍,24,114.5,4.770833333,0.389513818,33.55553,126.7535,정좌표
3773,말젯문,기타,"제주특별자치도 제주시 구좌읍 계룡길 31, 1층",구좌읍,716,3494.0,4.879888268,0.369597004,33.53842,126.8352,정좌표
3774,멘도롱돈까스,경양식,"제주특별자치도 제주시 구좌읍 월정7길 58, 1층 제3호",구좌읍,69,319.5,4.630434783,0.526169383,33.55549,126.7959,정좌표
3775,허벅식당,한식,제주특별자치도 제주시 구좌읍 세평항로 26,구좌읍,122,564.0,4.62295082,0.836441388,33.52557,126.8544,정좌표
3776,김녕장터국수,한식,"제주특별자치도 제주시 구좌읍 김녕로21길 8, 1층",구좌읍,25,98.0,3.92,1.272137309,33.55669,126.7559,정좌표
3777,쿠쿤,경양식,"제주특별자치도 제주시 구좌읍 평대2길 17, 1층",구좌읍,194,941.5,4.853092784,0.576136607,33.53276,126.8377,정좌표
3778,톰톰카레,한식,"제주특별자치도 제주시 구좌읍 해맞이해안로 1112, 1층",구좌읍,173,778.0,4.497109827,0.827396291,33.53729,126.8373,정좌표
3779,제주도의푸른밤,한식,제주특별자치도 제주시 구좌읍 월행남길 96-1,구좌읍,28,134.5,4.803571429,0.458243137,33.54405,126.7892,정좌표
3780,로타리식당,한식,"제주특별자치도 제주시 구좌읍 중산간동로 2266, 1층",구좌읍,22,98.5,4.477272727,1.107090489,33.47122,126.7847,정좌표
3781,앞오름돼지촌,식육(숯불구이),제주특별자치도 제주시 구좌읍 중산간동로 2258,구좌읍,15,60.0,4.0,1.133893419,33.47117,126.7837,정좌표
3782,바다는김녕,기타,"제주특별자치도 제주시 구좌읍 김녕로21길 25, 가동 1층",구좌읍,40,181.5,4.5375,0.634353093,33.55806,126.7551,정좌표
3783,소금바치순이네,한식,제주특별자치도 제주시 구좌읍 해맞이해안로 2196,구좌읍,753,3385.0,4.495351926,0.856167962,33.50367,126.9126,정좌표
3784,하하호호,까페,"제주특별자치도 제주시 구좌읍 해맞이해안로 514, 1층",구좌읍,153,664.5,4.343137255,0.832068183,33.55622,126.8012,정좌표
3785,봉그랑김밥,한식,"제주특별자치도 제주시 구좌읍 구좌로 34, 1층",구좌읍,14,60.0,4.285714286,0.726273039,33.52331,126.855,정좌표
3786,연미정,횟집,제주특별자치도 제주시 구좌읍 세평항로 14,구좌읍,184,814.5,4.426630435,0.925531928,33.52463,126.8538,정좌표
3787,라라라,식육(숯불구이),"제주특별자치도 제주시 구좌읍 해맞이해안로 1430, 1층",구좌읍,1313,6173.0,4.701447068,0.58072918,33.52487,126.858,정좌표
3788,걷다워크인제주,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 594, 1층",구좌읍,16,75.5,4.71875,0.481966458,33.5562,126.808,정좌표
3789,샤이니,한식,제주특별자치도 제주시 구좌읍 송당4길 7,구좌읍,1,5.0,5.0,,33.47068,126.7843,정좌표
3790,벼리,기타,"제주특별자치도 제주시 구좌읍 면수1길 27, 1층",구좌읍,910,4423.5,4.860989011,0.448889486,33.52379,126.8646,정좌표
3791,장인의집월정점,패스트푸드,"제주특별자치도 제주시 구좌읍 월정3길 60, 1, 2층",구좌읍,606,2622.5,4.327557756,1.26211798,33.55586,126.7954,정좌표
3792,닭다리먹고맴맴,호프/통닭,"제주특별자치도 제주시 구좌읍 세화1길 34, 1층",구좌읍,23,111.0,4.826086957,0.357029909,33.52618,126.8553,정좌표
3793,꽃돼지정식,한식,제주특별자치도 제주시 구좌읍 종달논길 24,구좌읍,18,75.0,4.166666667,0.985184366,33.49425,126.9018,정좌표
3794,가름물,식육(숯불구이),"제주특별자치도 제주시 구좌읍 해맞이해안로 442, 1~2층",구좌읍,189,881.0,4.661375661,0.950442345,33.55695,126.7945,정좌표
3795,떡하니,기타,"제주특별자치도 제주시 구좌읍 행원로9길 9-5, 1층",구좌읍,276,1308.5,4.740942029,0.50892884,33.55379,126.8078,정좌표
3796,꺼멍스,한식,"제주특별자치도 제주시 구좌읍 행원로1길 26, 1층",구좌읍,228,1108.0,4.859649123,0.561263411,33.55423,126.8003,정좌표
3797,양화정,한식,"제주특별자치도 제주시 구좌읍 세평항로 45-9, 1층",구좌읍,17,80.5,4.735294118,0.61536694,33.52752,126.854,정좌표
3798,하도핑크,기타,"제주특별자치도 제주시 구좌읍 문주란로1길 43, 1층",구좌읍,150,708.0,4.72,0.586423582,33.52228,126.8834,정좌표
3799,김녕회관,기타,"제주특별자치도 제주시 구좌읍 김녕로 170, 1층",구좌읍,49,232.5,4.744897959,0.662401321,33.55589,126.7559,정좌표
3800,사굴식당,일반조리판매,제주특별자치도 제주시 구좌읍 만장굴길 34,구좌읍,29,117.0,4.034482759,1.187216391,33.54407,126.7746,정좌표
3801,록록타르트,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 하도서문길 41, 2층",구좌읍,33,148.5,4.5,0.673145601,33.52886,126.8789,정좌표
3802,세븐일레븐제주세화점,편의점,"제주특별자치도 제주시 구좌읍 세화2길 11, 1층",구좌읍,8,35.5,4.4375,0.728868987,33.52255,126.8561,정좌표
3803,비몽,커피숍,"제주특별자치도 제주시 구좌읍 비자림로 2279, 1층",구좌읍,79,331.0,4.189873418,1.188361826,33.49664,126.8119,정좌표
3804,대수길다방,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 대수길 24, 1층",구좌읍,48,220.5,4.59375,0.689250672,33.5366,126.8382,정좌표
3805,카페공작소,커피숍,"제주특별자치도 제주시 구좌읍 해맞이해안로 1446, 1층",구좌읍,59,265.5,4.5,0.601721668,33.52464,126.8599,정좌표
3806,스테이솔티,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 해맞이해안로 480-1, 1~2층 101호",구좌읍,114,504.0,4.421052632,0.802592446,33.55451,126.7982,정좌표
3807,월정리카페스쿠버스,커피숍,"제주특별자치도 제주시 구좌읍 월정3길 14, 1동 2층",구좌읍,60,264.5,4.408333333,0.744992701,33.55267,126.7922,정좌표
3808,모알보알,기타 휴게음식점,제주특별자치도 제주시 구좌읍 구좌해안로 141,구좌읍,467,2020.5,4.326552463,1.009026588,33.55956,126.728,정좌표
3809,세븐일레븐제주송당마을점,편의점,"제주특별자치도 제주시 구좌읍 중산간동로 2231, 1층",구좌읍,22,94.0,4.272727273,0.611930449,33.47213,126.7815,정좌표
3810,마커스카페,커피숍,"제주특별자치도 제주시 구좌읍 행원로1길 32, A동",구좌읍,9,41.5,4.611111111,0.485912658,33.55494,126.7999,정좌표
3811,하도리안,커피숍,"제주특별자치도 제주시 구좌읍 해맞이해안로 1788, A동 1층",구좌읍,10,44.0,4.4,0.699205899,33.52602,126.8927,정좌표
3812,미와,커피숍,"제주특별자치도 제주시 구좌읍 구좌로 51-1, 2층",구좌읍,9,44.5,4.944444444,0.166666667,33.5232,126.8571,정좌표
3813,도도톳김밥,분식,제주특별자치도 제주시 구좌읍 해맞이해안로 1460,구좌읍,10,43.5,4.35,0.747217059,33.5243,126.8613,정좌표
3814,록록,커피숍,"제주특별자치도 제주시 구좌읍 하도서문길 41, 1층",구좌읍,10,46.5,4.65,0.474341649,33.52886,126.8789,정좌표
3815,속솜,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 해맞이해안로 1655, 1~2층",구좌읍,62,287.5,4.637096774,0.74200302,33.5286,126.8798,정좌표
3816,프랭크서울,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 세화10길 1, 1층",구좌읍,10,44.5,4.45,0.643341969,33.52084,126.8588,정좌표
3817,예원,한식,"제주특별자치도 제주시 구좌읍 비자림로 2542, 1층",구좌읍,38,181.5,4.776315789,0.397583383,33.51351,126.8306,정좌표
3818,같이살자지구카페,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 중산간동로 2264, 2층",구좌읍,14,68.5,4.892857143,0.212907657,33.47129,126.7844,정좌표
3819,카페더크라운,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 해맞이해안로 622, 2층",구좌읍,80,386.0,4.825,0.522288053,33.55663,126.811,정좌표
3820,제파,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 월정3길 40, 1층",구좌읍,68,319.5,4.698529412,0.738795439,33.55458,126.794,정좌표
3821,풍림다방송당점,커피숍,"제주특별자치도 제주시 구좌읍 중산간동로 2267-4, 2층",구좌읍,1197,5142.5,4.296157059,0.952580689,33.47187,126.7857,정좌표
3822,월정리앤카멜리아,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 월정1길 46-2, 1층",구좌읍,6,30.0,5.0,0.0,33.55534,126.7922,정좌표
3823,뿌리와열매,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 중산간동로 2255, 1층",구좌읍,43,201.5,4.686046512,0.60772072,33.47181,126.7839,정좌표
3824,듬뿍토스트,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 세평항로 13, 제1동 1층",구좌읍,9,43.5,4.833333333,0.353553391,33.52459,126.8529,정좌표
3825,지금의우리,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 중산간동로 2260, 1층",구좌읍,53,257.0,4.849056604,0.333756384,33.47128,126.7842,정좌표
3826,제주착한닭강정,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 세평항로 13, 제1동 1층",구좌읍,51,219.0,4.294117647,1.054402535,33.52459,126.8529,정좌표
3827,세화인,커피숍,"제주특별자치도 제주시 구좌읍 세화3길 27-2, 1층",구좌읍,20,88.5,4.425,0.674244216,33.52619,126.856,정좌표
3828,구씨커피,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 구좌로 21, 1층",구좌읍,40,189.0,4.725,0.576794858,33.52363,126.854,정좌표
3829,해더,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 한동로6길 8, 에이동",구좌읍,21,102.5,4.880952381,0.21821789,33.53398,126.8199,정좌표
3830,제주소녀,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 비자숲길 21, 1층",구좌읍,10,47.5,4.75,0.540061725,33.49462,126.8116,정좌표
3831,드파티오,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 행원로1길 32-1, 지하1층",구좌읍,10,47.0,4.7,0.948683298,33.55498,126.8001,정좌표
3832,카페봄봄김녕점,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 김녕로15길 11, 1층",구좌읍,10,32.5,3.25,1.620185175,33.55598,126.7526,정좌표
3833,제주이야기송당점,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 중산간동로 2240, 2층",구좌읍,8,33.0,4.125,0.582482373,33.47158,126.7822,정좌표
3834,인터포레스트,커피숍,"제주특별자치도 제주시 구좌읍 비자림로 1655, 1~2층",구좌읍,9,41.0,4.555555556,0.726483157,33.45511,126.7727,인근좌표
3835,바보나무사진카페,커피숍,"제주특별자치도 제주시 구좌읍 해맞이해안로 1800, 1층",구좌읍,5,25.0,5.0,0.0,33.5252,126.8935,정좌표
3836,이층다방,커피숍,"제주특별자치도 제주시 구좌읍 김녕로4길 30, 2층 4호",구좌읍,7,29.5,4.214285714,0.56694671,33.55264,126.744,정좌표
3837,레미제라블,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 하도13길 25, 1층",구좌읍,9,41.5,4.611111111,0.697216689,33.51022,126.8892,정좌표
3838,세모,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 행원로 121, 1층",구좌읍,10,45.5,4.55,0.437797518,33.55308,126.8082,정좌표
3839,스을,기타 휴게음식점,"제주특별자치도 제주시 구좌읍 덕행로 207, 2층",구좌읍,10,47.5,4.75,0.540061725,33.53039,126.793,정좌표
3840,지에스25송당사거리점,기타 휴게음식점,제주특별자치도 제주시 구좌읍 비자림로 1814,구좌읍,10,41.0,4.1,1.264911064,33.47032,126.7761,정좌표
