Column2,name,upjong,address_x,category,평점_건수,평점_합계,평점_평균,평점_표준편차,Latitude,Longitude,상태
644,유노,식육(숯불구이),"제주특별자치도 제주시 흥운길 19, 1층 (용담이동)",제주시,7,35,5,0,33.5107091,126.5114111,정좌표
645,연동마라도,횟집,제주특별자치도 제주시 신광로8길 3 (연동),제주시,106,451,4.254716981,1.149006368,33.4868335,126.4895539,정좌표
646,야무진냄비,한식,제주특별자치도 제주시 용문로 144-1 (용담이동),제주시,1,5,5,,33.5075754,126.5096987,정좌표
647,미나리,한식,"제주특별자치도 제주시 삼무로11길 34 (연동,(삼무1로 9))",제주시,42,178,4.238095238,1.043201541,33.4905415,126.4957637,정좌표
648,예소담,한식,제주특별자치도 제주시 조천읍 신북로 544,제주시,102,474,4.647058824,0.788494729,33.5411266,126.6677813,정좌표
649,막창상회용담본점,식육(숯불구이),제주특별자치도 제주시 흥운길 16 (용담이동),제주시,5,22.5,4.5,0.707106781,33.5103093,126.5115234,정좌표
650,목포홍탁집,한식,"제주특별자치도 제주시 신대로10길 32 (연동,(성두4로46))",제주시,1,5,5,,33.4910176,126.4933215,정좌표
651,돈세상,일식,제주특별자치도 제주시 가령골2길 4 (이도이동),제주시,7,32,4.571428571,0.534522484,33.504256,126.5375477,정좌표
652,천둥소리,식육(숯불구이),제주특별자치도 제주시 원남6길 5 (도남동),제주시,9,37,4.111111111,0.333333333,33.4888231,126.5294867,정좌표
653,나성갈비제주화북점,한식,제주특별자치도 제주시 일주동로 260 (화북일동),제주시,21,96,4.571428571,0.746420027,33.5200652,126.5731982,정좌표
654,진지상,한식,"제주특별자치도 제주시 다랑곶길 10 (노형동,(다랑굿로 14) 101호)",제주시,5,22,4.4,0.547722558,33.4879309,126.4808146,정좌표
655,이가촌,한식,"제주특별자치도 제주시 연북로 164, 1~2층 (연동)",제주시,34,146.5,4.308823529,1.279291387,33.4814289,126.4990004,정좌표
656,이도국밥,한식,제주특별자치도 제주시 남광로 7 (이도이동),제주시,7,33,4.714285714,0.487950036,33.4924789,126.5370195,정좌표
657,자연뜨락,한식,제주특별자치도 제주시 연화로2길 16-1 (연동),제주시,28,128,4.571428571,0.790151014,33.4772933,126.4890418,정좌표
658,제주김만복본점,한식,"제주특별자치도 제주시 오라로 41, 1동 1층 (오라삼동)",제주시,1475,6058,4.107118644,1.106774273,33.4968071,126.5111965,정좌표
659,우정양꼬치,한식,제주특별자치도 제주시 우정로13길 9 (외도일동),제주시,9,41.5,4.611111111,0.485912658,33.4870765,126.4321791,정좌표
660,경일낙지,한식,"제주특별자치도 제주시 다랑곶길 30, 1층 (노형동)",제주시,118,510.5,4.326271186,1.153547332,33.4884542,126.481045,정좌표
661,통큰순대집,한식,"제주특별자치도 제주시 동광로1길 32, 제40, 41호 (이도일동)",제주시,3,15,5,0,33.5032944,126.527915,정좌표
662,태양상회,중국식,"제주특별자치도 제주시 중앙로2길 31, 1층 (삼도이동)",제주시,9,43.5,4.833333333,0.353553391,33.5171926,126.5216748,정좌표
663,웅지,한식,제주특별자치도 제주시 진군중길 16 (노형동),제주시,2,8.5,4.25,0.353553391,33.4775532,126.4794074,정좌표
664,덤장돌삼겹,한식,"제주특별자치도 제주시 서해안로 500, 1~2층 (용담삼동)",제주시,101,504,4.99009901,0.070007072,33.5193867,126.4925543,정좌표
665,후레쉬돈까스,한식,"제주특별자치도 제주시 서광로2길 33, 1층 (오라일동)",제주시,12,58.5,4.875,0.31079078,33.4984073,126.5139622,정좌표
666,우돈채,한식,"제주특별자치도 제주시 남광로2길 17-14, 1층 (이도이동)",제주시,17,77.5,4.558823529,0.634486824,33.4912229,126.5386148,정좌표
667,미풍해장국제주항점,한식,"제주특별자치도 제주시 임항로 80, 제4동 1층 (건입동)",제주시,41,165.5,4.036585366,1.057061043,33.5183479,126.5387193,정좌표
668,리하의커리,기타,"제주특별자치도 제주시 조천읍 조천3길 3, 1층",제주시,9,36,4,1.71391365,33.5351735,126.6324683,정좌표
669,더전복,한식,제주특별자치도 제주시 도두항서길 53 (도두일동),제주시,99,464,4.686868687,0.637220762,33.5052401,126.4639129,정좌표
670,돈뜨레용담점,한식,제주특별자치도 제주시 서해안로 644 (용담삼동),제주시,89,428,4.808988764,0.5959409,33.5164234,126.505585,정좌표
