name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
한수위,한식,제주특별자치도 제주시 애월읍 하광로 540-66 1층,애월읍,52,4.673076923,33.4411527,126.4288763
씨사이드애월하귀점,기타,제주특별자치도 제주시 애월읍 하귀14길 5-3 1층,애월읍,88,4.784090909,33.4850161,126.4077531
볼륨1603,기타,제주특별자치도 제주시 애월읍 일주서로 7087-14 1층,애월읍,25,4.72,33.4842288,126.4064775
장전고을,한식,제주특별자치도 제주시 애월읍 중산간서로 6010 1층,애월읍,5,4.1,33.4470046,126.3747347
소랑국수,한식,제주특별자치도 제주시 애월읍 애월로1길 24-5 1층,애월읍,70,3.414285714,33.4624642,126.3102678
곽지곤지암해장국,한식,제주특별자치도 제주시 애월읍 곽지1길 4 1층,애월읍,37,4.256756757,33.4466795,126.3052733
로맨틱새우,기타,제주특별자치도 제주시 애월읍 곽지1길 12-12 1층 103호 (곽지어촌계펜션),애월읍,1176,4.81122449,33.4480612,126.3055099
코코리파이프,기타,제주특별자치도 제주시 애월읍 하귀6길 22 1층,애월읍,145,4.617241379,33.4887078,126.4145642
어촌계회센타,한식,제주특별자치도 제주시 애월읍 애월포구동길 3,애월읍,12,4.458333333,33.4658162,126.3218897
바다속고등어쌈밥,기타,제주특별자치도 제주시 애월읍 일주서로 7089,애월읍,478,4.518828452,33.4842697,126.4068534
곤밥보리밥,한식,제주특별자치도 제주시 애월읍 애원로 70-2 1층,애월읍,26,4.5,33.4431304,126.3385993
곽지해녀의집,한식,제주특별자치도 제주시 애월읍 곽지11길 27,애월읍,111,3.990990991,33.4538292,126.3066334
청아돈,한식,제주특별자치도 제주시 애월읍 애월로11길 14,애월읍,12,4.291666667,33.4636964,126.3180099
초원도야지,기타,제주특별자치도 제주시 애월읍 하소로 14 1층,애월읍,12,4.25,33.4787068,126.3994104
떡빙,한식,제주특별자치도 제주시 애월읍 하귀동남3길 15-15 1층,애월읍,1,4,33.4849584,126.4155823
제주김만복애월점,기타,제주특별자치도 제주시 애월읍 애월해안로 255 2층,애월읍,1001,4.058441558,33.4782235,126.3665625
야미부대찌게하귀점,한식,제주특별자치도 제주시 애월읍 하귀동남3길 7 1층,애월읍,16,4.40625,33.4835358,126.4131748
하귀청마루,한식,제주특별자치도 제주시 애월읍 항몽로 71-1,애월읍,35,4.385714286,33.4775698,126.4089878
잇칸시타,일식,제주특별자치도 제주시 애월읍 신엄안2길 54-1 1동 1층,애월읍,328,4.542682927,33.4770905,126.3699554
애월성,중국식,제주특별자치도 제주시 애월읍 애월로7길 2,애월읍,31,3.64516129,33.4647427,126.3197753
홍스랜드,기타,제주특별자치도 제주시 애월읍 어음13길 25-45,애월읍,27,4.777777778,33.3981204,126.352168
달빛제주,기타,제주특별자치도 제주시 애월읍 애월해안로 929 가동 2층,애월읍,67,4.589552239,33.4782235,126.3665625
송이,한식,제주특별자치도 제주시 애월읍 곽지8길 12-1,애월읍,5,4.7,33.4487082,126.3086558
청수냉면,한식,제주특별자치도 제주시 애월읍 하귀9길 12,애월읍,23,4.543478261,33.4871453,126.4093484
모리노아루요,한식,제주특별자치도 제주시 애월읍 하소로 769-58 아동 1층,애월읍,67,3.798507463,33.418384,126.4001215
호커센터,한식,제주특별자치도 제주시 애월읍 애월로11길 25-2,애월읍,559,4.92039356,33.4669387,126.3203654
해삼궁,한식,제주특별자치도 제주시 애월읍 평화로 1976 1층,애월읍,36,4.402777778,33.400203,126.3798207
팩토리스토리,기타,제주특별자치도 제주시 애월읍 일주서로 6083 1층,애월읍,28,3.946428571,33.4547078,126.3083167
성안식당,횟집,제주특별자치도 제주시 애월읍 애월로11길 5,애월읍,26,4.134615385,33.4647956,126.3201572
애월등대집,한식,제주특별자치도 제주시 애월읍 애월해안로 56 1층,애월읍,18,4.944444444,33.4670965,126.3203656
소길역,일식,제주특별자치도 제주시 애월읍 소길2길 53 1층,애월읍,110,4.772727273,33.4419011,126.370287
리틀줄리,기타,제주특별자치도 제주시 애월읍 곽지1길 9 1층,애월읍,8,4.625,33.4469439,126.3046315
광평도새기촌본점,식육(숯불구이),제주특별자치도 제주시 애월읍 구엄동3길 64 1층,애월읍,620,4.744354839,33.4792685,126.3810461
애월할망네,한식,제주특별자치도 제주시 애월읍 중산간서로 5632 1층,애월읍,27,4.12962963,33.4470046,126.3747347
고래밥,한식,제주특별자치도 제주시 애월읍 애월로 93-1 1층,애월읍,14,4.678571429,33.4649048,126.3174412
삼일해장국,한식,제주특별자치도 제주시 애월읍 하귀9길 14,애월읍,88,4.295454545,33.4826863,126.415916
블라썸1407,기타,제주특별자치도 제주시 애월읍 고하상로 103 1층,애월읍,44,4.488636364,33.4569306,126.3475934
애월회센터,횟집,제주특별자치도 제주시 애월읍 신엄9길 72-11 1층,애월읍,61,4.18852459,33.4773551,126.3683507
퐁낭집,한식,제주특별자치도 제주시 애월읍 유수암로 36 1층,애월읍,6,4.75,33.4395837,126.4026069
제주애월회관,식육(숯불구이),제주특별자치도 제주시 애월읍 애월로 38,애월읍,182,4.392857143,33.4655339,126.3203113
낮갈치밤돼지,한식,제주특별자치도 제주시 애월읍 신엄7길 9 1층,애월읍,88,4.914772727,33.472592,126.3664905
스시애월,일식,제주특별자치도 제주시 애월읍 애월로9길 50-3 1층,애월읍,140,4.528571429,33.4665125,126.3193173
명리동식당애월점,한식,제주특별자치도 제주시 애월읍 애월해안로 384-8,애월읍,119,4.222689076,33.4728044,126.3494447
에피소드,한식,제주특별자치도 제주시 애월읍 하귀동남1길 19 1층,애월읍,2,5,33.48518,126.4146088
시루애월,기타,제주특별자치도 제주시 애월읍 하소로 449,애월읍,129,4.213178295,33.4426654,126.3918782
고스트타운,뷔페식,제주특별자치도 제주시 애월읍 부룡수길 35-14,애월읍,145,3.862068966,33.4760526,126.3568775
디딤팡,한식,제주특별자치도 제주시 애월읍 장전로 63 다동 1층,애월읍,1,5,33.4619478,126.3295244
애월바당국수,한식,제주특별자치도 제주시 애월읍 애월해안로 34 1층,애월읍,66,4.272727273,33.4782235,126.3665625
그마니네,한식,제주특별자치도 제주시 애월읍 일주서로 7219,애월읍,112,4.607142857,33.4893844,126.4193291
대호해물가든,한식,제주특별자치도 제주시 애월읍 항몽로 134 1~2층,애월읍,19,3.631578947,33.4725115,126.4090103
고집78,기타,제주특별자치도 제주시 애월읍 부룡수길 50 1층,애월읍,12,4.75,33.4746076,126.3577962
봉성식당,한식,제주특별자치도 제주시 애월읍 봉성로 66 1층,애월읍,180,4.561111111,33.4186696,126.3126809
트라이브,한식,제주특별자치도 제주시 애월읍 애월로 11 제2동 1층,애월읍,198,4.712121212,33.4600513,126.3113009
하귀밀면,한식,제주특별자치도 제주시 애월읍 하광로 15 1층,애월읍,21,4.380952381,33.4621944,126.4227085
머구리,한식,제주특별자치도 제주시 애월읍 가문동길 63 1층,애월읍,16,4.0625,33.4875675,126.3912843
큰맘할매순대국제주곽지점,한식,제주특별자치도 제주시 애월읍 곽지1길 3 1층 2호,애월읍,26,4,33.4462688,126.3048414
다다의작은공간,한식,제주특별자치도 제주시 애월읍 광상로 528-1,애월읍,24,4.645833333,33.4414143,126.3779121
맛있는밥집,한식,제주특별자치도 제주시 애월읍 하광로 392 1층 1호,애월읍,3,3.333333333,33.4621944,126.4227085
회가서쪽에서뜨겠네,한식,제주특별자치도 제주시 애월읍 애월로 12 1층,애월읍,323,4.770897833,33.4654486,126.3206426
목수포차,기타,제주특별자치도 제주시 애월읍 고내북동길 51-22 1층,애월읍,25,4.8,33.4690303,126.3419283
허황후김치찜,한식,제주특별자치도 제주시 애월읍 해암이길 186 1층,애월읍,1,4,33.4202883,126.3328561
애월해송수산물회센타,횟집,제주특별자치도 제주시 애월읍 애월로11길 23 1층,애월읍,240,4.125,33.4663286,126.3205148
애월하와이,기타,제주특별자치도 제주시 애월읍 신엄안3길 99 1층,애월읍,4,4.5,33.4736903,126.3608227
하미,기타,제주특별자치도 제주시 애월읍 애월북서길 54 1층,애월읍,565,3.962831858,33.4662251,126.3107458
어음밥집,기타,제주특별자치도 제주시 애월읍 어림비로 393-1 1층,애월읍,6,4.666666667,33.4020841,126.3392178
모아나디쉬,기타,제주특별자치도 제주시 애월읍 일주서로 7087-12 1층,애월읍,587,4.648211244,33.4847224,126.4063706
애월후식,기타,제주특별자치도 제주시 애월읍 납읍로 21 1층,애월읍,72,4.743055556,33.4389732,126.3302631
스시아리엔,기타,제주특별자치도 제주시 애월읍 하귀동남3길 4 1층,애월읍,18,4.694444444,33.4849584,126.4155823
제주이와이,기타,제주특별자치도 제주시 애월읍 하귀로 4 1층,애월읍,23,4.869565217,33.4805276,126.4021784
우굼,기타,제주특별자치도 제주시 애월읍 하소로 611-42 1층,애월읍,102,4.348039216,33.4294575,126.3992538
황제중화요리,기타,제주특별자치도 제주시 애월읍 광령5길 6 1층,애월읍,10,3.9,33.460949,126.4358571
레이니데이,기타,제주특별자치도 제주시 애월읍 중산간서로 5384 1층,애월읍,4,5,33.4308629,126.3202436
곽지뽕끌락,한식,제주특별자치도 제주시 애월읍 일주서로 6001 1층,애월읍,5,4.4,33.466277,126.3511114
봉구식탁,경양식,제주특별자치도 제주시 애월읍 유수암평화길 14-3 1층,애월읍,66,4.795454545,33.4410845,126.4027191
통큰코다리하귀점,한식,제주특별자치도 제주시 애월읍 하귀9길 19 1층,애월읍,6,4.25,33.4826863,126.415916
명랑부대찌개,한식,제주특별자치도 제주시 애월읍 애월로11길 3 1층,애월읍,21,4.642857143,33.4646882,126.3202765
레그돌,경양식,제주특별자치도 제주시 애월읍 곽지9길 23 2층,애월읍,15,4.3,33.444932,126.326157
다운타우너제주애월,경양식,제주특별자치도 제주시 애월읍 애월로1길 24-9 1동 1~2층,애월읍,807,4.497521685,33.4632492,126.3097944
제주달,일식,제주특별자치도 제주시 애월읍 가문동길 27-8,애월읍,8,4.4375,33.4847109,126.3928445
조식,경양식,제주특별자치도 제주시 애월읍 어림비로 272 1층,애월읍,34,4.852941176,33.4108548,126.330805
보말이네,한식,제주특별자치도 제주시 애월읍 유수암평화5길 51 가동 1층,애월읍,116,4.75,33.424382,126.4051687
라이진,중국식,제주특별자치도 제주시 애월읍 하광로 463-1 1층,애월읍,27,4.962962963,33.4498906,126.4290876
빅,한식,제주특별자치도 제주시 애월읍 하귀로23길 1 1층,애월읍,1,5,33.4801321,126.4029022
혁이네식당,기타,제주특별자치도 제주시 애월읍 광령남3길 9 1층,애월읍,16,4.5625,33.4505474,126.4319823
상하이,기타,제주특별자치도 제주시 애월읍 유수암서길 22 1층,애월읍,13,4.230769231,33.429504,126.3944844
정가네,한식,제주특별자치도 서귀포시 안덕면 소기왓로 7,안덕면,3,4.5,33.235672,126.3676591
양자강,중국식,제주특별자치도 서귀포시 안덕면 화순중앙로54번길 10 2층,안덕면,26,4.346153846,33.2473678,126.3349284
