,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,naver_map_url
1605,어른이보호구역,일반음식점,기타,제주특별자치도 서귀포시 성산읍 고성리 298-14번지 ,https://pcmap.place.naver.com/restaurant/1381477499/review/visitor#
1606,새벽기차,일반음식점,경양식,제주특별자치도 서귀포시 서귀동 633-4 ,https://pcmap.place.naver.com/restaurant/34578468/review/visitor#
1607,큰갯물횟집,일반음식점,회집,제주특별자치도 서귀포시 대포동 2070번지 ,https://pcmap.place.naver.com/restaurant/37101721/review/visitor#
1608,라라소주앤비어,일반음식점,까페,제주특별자치도 서귀포시 서귀동 286-31 ,https://pcmap.place.naver.com/restaurant/1476135290/review/visitor#
1609,표선풍천장어,일반음식점,호프/통닭,제주특별자치도 서귀포시 표선면 표선리 632번지 ,https://pcmap.place.naver.com/restaurant/1398988740/review/visitor#
1610,큰산식당,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 481-3 ,https://pcmap.place.naver.com/restaurant/16963432/review/visitor#
1613,태백관,일반음식점,중국식,제주특별자치도 서귀포시 성산읍 고성리 317-9번지 ,https://pcmap.place.naver.com/restaurant/16950584/review/visitor#
1616,혼차롱식개집,일반음식점,한식,제주특별자치도 서귀포시 서귀동 257-8번지 ,https://pcmap.place.naver.com/restaurant/1370697290/review/visitor#
1617,동원참치,일반음식점,회집,제주특별자치도 서귀포시 서귀동 251-3번지 ,https://pcmap.place.naver.com/restaurant/33758643/review/visitor#
1619,해변정식당,일반음식점,일식,제주특별자치도 서귀포시 안덕면 사계리 2076-3번지 ,https://pcmap.place.naver.com/restaurant/34850108/review/visitor#
1621,신제가든,일반음식점,한식,제주특별자치도 서귀포시 남원읍 위미리 1664-6번지 ,https://pcmap.place.naver.com/restaurant/13444907/review/visitor#
1622,고씨네천지국수,일반음식점,한식,제주특별자치도 서귀포시 서귀동 298-1번지 ,https://pcmap.place.naver.com/restaurant/1794435212/review/visitor#
1624,향원복집,일반음식점,복어취급,"제주특별자치도 서귀포시 서귀동 782번지 (1,2층) ",https://pcmap.place.naver.com/restaurant/16895470/review/visitor#
1625,삼수정식당,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 316-4 ,https://pcmap.place.naver.com/restaurant/17077443/review/visitor#
1628,고사리키친,일반음식점,경양식,제주특별자치도 서귀포시 대정읍 하모리 931-10번지 ,https://pcmap.place.naver.com/restaurant/37810575/review/visitor#
1629,대광장식당,일반음식점,한식,제주특별자치도 서귀포시 서귀동 297-1번지 ,https://pcmap.place.naver.com/restaurant/32277961/review/visitor#
1630,1100고지휴게소,일반음식점,분식,제주특별자치도 서귀포시 색달동 산 1-3번지 ,https://pcmap.place.naver.com/restaurant/13542640/review/visitor#
1631,오백장군과까마귀,일반음식점,한식,제주특별자치도 서귀포시 하원동 산 1-1 영실매표소 ,https://pcmap.place.naver.com/restaurant/21760789/review/visitor#
1632,돈보리,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 1017-1 ,https://pcmap.place.naver.com/restaurant/1287253740/review/visitor#
1633,표선세화해녀의집,일반음식점,한식,제주특별자치도 서귀포시 표선면 세화리 191 ,https://pcmap.place.naver.com/restaurant/12849490/review/visitor#
1634,남호식당,일반음식점,한식,제주특별자치도 서귀포시 강정동 172-8번지 ,https://pcmap.place.naver.com/restaurant/16930387/review/visitor#
1635,수산동백가든,일반음식점,한식,제주특별자치도 서귀포시 성산읍 수산리 1030번지 ,https://pcmap.place.naver.com/restaurant/16953697/review/visitor#
1637,황금올래길,일반음식점,한식,제주특별자치도 서귀포시 서귀동 275-4번지 ,https://pcmap.place.naver.com/restaurant/37934588/review/visitor#
