Column1,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
3631,버거307제주함덕점앤치킨플러스,버거307제주함덕점앤치킨플러스제주특별자치도 제주시 조천읍 조함해안로 504,일반음식점,기타,제주특별자치도 제주시 조천읍 조함해안로 504,
3632,김주학짬뽕,김주학짬뽕제주특별자치도 제주시 동문로14길 10,일반음식점,중국식,제주특별자치도 제주시 동문로14길 10,
3633,하도리1091,하도리1091제주특별자치도 제주시 구좌읍 하도13길 6,일반음식점,기타,제주특별자치도 제주시 구좌읍 하도13길 6,
3634,우도몬딱,우도몬딱제주특별자치도 제주시 우도면 우도해안길 794,일반음식점,기타,제주특별자치도 제주시 우도면 우도해안길 794,
3635,모이세해장국노형점,모이세해장국노형점제주특별자치도 제주시 월랑로 61,일반음식점,한식,제주특별자치도 제주시 월랑로 61,
3636,산적,산적제주특별자치도 제주시 월랑로4길 17,일반음식점,한식,제주특별자치도 제주시 월랑로4길 17,
3637,강씨고집,강씨고집제주특별자치도 제주시 구남동6길 33,일반음식점,한식,제주특별자치도 제주시 구남동6길 33,
3638,세화에서소주한잔,세화에서소주한잔제주특별자치도 제주시 구좌읍 세화3길 6,일반음식점,호프/통닭,제주특별자치도 제주시 구좌읍 세화3길 6,
3639,참사랑전복해물탕,참사랑전복해물탕제주특별자치도 제주시 연동10길 3 (연동),일반음식점,식육(숯불구이),제주특별자치도 제주시 연동10길 3 (연동),
3640,컬쳐드,컬쳐드제주특별자치도 제주시 승천로 81,일반음식점,경양식,제주특별자치도 제주시 승천로 81,
3641,신스버거,신스버거제주특별자치도 제주시 한림읍 월령2길 2,일반음식점,기타,제주특별자치도 제주시 한림읍 월령2길 2,
3642,전이야기,전이야기제주특별자치도 제주시 우정로 44 (외도일동),일반음식점,식육(숯불구이),제주특별자치도 제주시 우정로 44 (외도일동),
3643,에코힐글램핑,에코힐글램핑제주특별자치도 제주시 애월읍 광령평화8길 22,일반음식점,한식,제주특별자치도 제주시 애월읍 광령평화8길 22,
3644,마빈,마빈제주특별자치도 제주시 삼성로 57,일반음식점,기타,제주특별자치도 제주시 삼성로 57,
3645,정말맛있는식당,정말맛있는식당제주특별자치도 제주시 사라봉길 5,일반음식점,한식,제주특별자치도 제주시 사라봉길 5,
3646,바르다김선생이도점,바르다김선생이도점제주특별자치도 제주시 중앙로 377,일반음식점,한식,제주특별자치도 제주시 중앙로 377,
3647,만배성,만배성제주특별자치도 제주시 아연로 484-9,일반음식점,한식,제주특별자치도 제주시 아연로 484-9,
3648,스페샬천사점,스페샬천사점제주특별자치도 제주시 동광로16길 15 (일도이동),일반음식점,호프/통닭,제주특별자치도 제주시 동광로16길 15 (일도이동),
3649,한림복,한림복제주특별자치도 제주시 한림읍 한림북동길 2,일반음식점,호프/통닭,제주특별자치도 제주시 한림읍 한림북동길 2,
3650,신촌가든,신촌가든제주특별자치도 제주시 조천읍 일주동로 784,일반음식점,한식,제주특별자치도 제주시 조천읍 일주동로 784,
3651,달그락식탁,달그락식탁제주특별자치도 제주시 조천읍 신흥로 2,일반음식점,한식,제주특별자치도 제주시 조천읍 신흥로 2,
3652,와와치킨,와와치킨제주특별자치도 제주시 도공로 24-1 (도두일동),일반음식점,통닭(치킨),제주특별자치도 제주시 도공로 24-1 (도두일동),
3653,그리,그리제주특별자치도 제주시 구좌읍 평대9길 39,일반음식점,까페,제주특별자치도 제주시 구좌읍 평대9길 39,
3654,한림대덕,한림대덕제주특별자치도 제주시 한림읍 한림로5길 17,일반음식점,한식,제주특별자치도 제주시 한림읍 한림로5길 17,
