,name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
66,임순이네,한식,"제주특별자치도 제주시 애월읍 곽지1길 26-7, 1층 제3호",애월읍,10,4.75,33.4488627,126.30425859999998
67,신제주촌오리,한식,제주특별자치도 제주시 애월읍 가문동길 27-6,애월읍,10,4.8,33.4848359,126.39303259999998
68,디오라제,기타,"제주특별자치도 제주시 애월읍 애월해안로 554-8, 오렌지힐 1층",애월읍,8,4.3125,33.4775969,126.3629091
69,로뎀애가든,한식,"제주특별자치도 제주시 애월읍 애월항로 17, 2층",애월읍,10,4.95,33.4638695,126.32655009999999
70,제주반딧불한담애월점,한식,"제주특별자치도 제주시 애월읍 애월로1길 24-11, 1층",애월읍,10,4.65,33.4624642,126.3102678
71,만지식당,한식,"제주특별자치도 제주시 애월읍 고내로 13-1, 1층",애월읍,10,3.55,33.4632506,126.33897169999999
72,죽성오리,한식,제주특별자치도 제주시 애월읍 하귀11길 3-11,애월읍,3,4.666666667,33.4830763,126.4136997
73,문개항아리애월점,한식,제주특별자치도 제주시 애월읍 가문동길 38,애월읍,10,4.85,33.4857824,126.39253529999999
74,유수암별장미락,한식,"제주특별자치도 제주시 애월읍 유수암평화길 170, 1층",애월읍,2,4.0,33.4288308,126.40877350000001
75,몬스터살롱,패스트푸드,"제주특별자치도 제주시 애월읍 일주서로 6017, 1층",애월읍,10,4.3,33.4482531,126.3072817
76,연화키친,한식,"제주특별자치도 제주시 애월읍 상가로 51, 1층",애월읍,9,4.5,33.4490813,126.3462983
77,심바카레,한식,"제주특별자치도 제주시 애월읍 금성5길 44-16, 1층",애월읍,194,4.595360825,33.448231199999995,126.302319
78,중엄집밥처럼,한식,"제주특별자치도 제주시 애월읍 일주서로 6755, 나동 1층",애월읍,12,4.25,33.473714799999996,126.37356969999999
79,꿈낭,한식,"제주특별자치도 제주시 애월읍 유수암평화5길 32, A동 1층",애월읍,9,4.277777778,33.424382,126.40516869999999
80,베트남쌀국수,"외국음식전문점(인도,태국등)","제주특별자치도 제주시 애월읍 광령중길 133-2, 1층",애월읍,23,4.7173913039999995,33.4538948,126.4351433
81,한수위,한식,"제주특별자치도 제주시 애월읍 하광로 540-66, 1층",애월읍,52,4.673076923,33.4411527,126.4288763
82,소랑국수,한식,"제주특별자치도 제주시 애월읍 애월로1길 24-5, 1층",애월읍,70,3.4142857139999996,33.4624642,126.3102678
83,곽지곤지암해장국,한식,"제주특별자치도 제주시 애월읍 곽지1길 4, 1층",애월읍,37,4.256756757,33.4466795,126.3052733
84,로맨틱새우,기타,"제주특별자치도 제주시 애월읍 곽지1길 12-12, 1층 103호 (곽지어촌계펜션)",애월읍,1176,4.81122449,33.4480612,126.30550990000002
85,어촌계회센타,한식,제주특별자치도 제주시 애월읍 애월포구동길 3,애월읍,12,4.458333333,33.4658162,126.32188970000001
86,바다속고등어쌈밥,기타,제주특별자치도 제주시 애월읍 일주서로 7089,애월읍,478,4.518828452,33.4842697,126.4068534
87,곤밥보리밥,한식,"제주특별자치도 제주시 애월읍 애원로 70-2, 1층",애월읍,26,4.5,33.4431304,126.3385993
88,곽지해녀의집,한식,제주특별자치도 제주시 애월읍 곽지11길 27,애월읍,111,3.9909909910000003,33.4538292,126.30663340000001
