,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
1329,난드르깡통구이,난드르깡통구이제주특별자치도 서귀포시 안덕면 대평감산로 14,일반음식점,한식,제주특별자치도 서귀포시 안덕면 대평감산로 14,https://pcmap.place.naver.com/restaurant/32035900/review/visitor#
1330,금상첨화,금상첨화제주특별자치도 서귀포시 동홍서로112번길 4-16 (동홍동),일반음식점,한식,제주특별자치도 서귀포시 동홍서로112번길 4-16 (동홍동),https://pcmap.place.naver.com/restaurant/31046238/review/visitor#
1332,358소주타운,358소주타운제주특별자치도 서귀포시 남원읍 태위로 672-2,일반음식점,한식,제주특별자치도 서귀포시 남원읍 태위로 672-2,https://pcmap.place.naver.com/restaurant/1359052825/review/visitor#
1333,다와매운갈비찜,다와매운갈비찜제주특별자치도 서귀포시 안덕면 녹차분재로59번길 6,일반음식점,통닭(치킨),제주특별자치도 서귀포시 안덕면 녹차분재로59번길 6,https://pcmap.place.naver.com/restaurant/20251748/review/visitor#
1334,농원백숙,농원백숙제주특별자치도 서귀포시 성산읍 서성일로 1224,일반음식점,통닭(치킨),제주특별자치도 서귀포시 성산읍 서성일로 1224,https://pcmap.place.naver.com/restaurant/16953894/review/visitor#
1335,놀멍쉬멍머그멍,놀멍쉬멍머그멍제주특별자치도 서귀포시 천제연로 132 (중문동),일반음식점,한식,제주특별자치도 서귀포시 천제연로 132 (중문동),https://pcmap.place.naver.com/restaurant/38430415/review/visitor#
1336,내담,내담제주특별자치도 서귀포시 신동로 33 (서호동),일반음식점,한식,제주특별자치도 서귀포시 신동로 33 (서호동),https://pcmap.place.naver.com/restaurant/31338787/review/visitor#
1337,팔팔아나고장어구이,팔팔아나고장어구이제주특별자치도 서귀포시 태평로 464 (서귀동),일반음식점,한식,제주특별자치도 서귀포시 태평로 464 (서귀동),https://pcmap.place.naver.com/restaurant/1577268985/review/visitor#
1338,왕돌식당,왕돌식당제주특별자치도 서귀포시 이어도로 668,일반음식점,한식,제주특별자치도 서귀포시 이어도로 668,https://pcmap.place.naver.com/restaurant/1142612892/review/visitor#
1339,성산스튜디오,성산스튜디오제주특별자치도 서귀포시 성산읍 섭지코지로25번길 64,일반음식점,분식,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 64,https://pcmap.place.naver.com/restaurant/1045919220/review/visitor#
1340,지장샘로13,지장샘로13제주특별자치도 서귀포시 지장샘로 13,일반음식점,패밀리레스트랑,제주특별자치도 서귀포시 지장샘로 13,https://pcmap.place.naver.com/restaurant/1597837165/review/visitor#
1341,하원가흑돼지,하원가흑돼지제주특별자치도 서귀포시 이어도로 278,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 이어도로 278,https://pcmap.place.naver.com/restaurant/1446379068/review/visitor#
1346,성산갯마을,성산갯마을제주특별자치도 서귀포시 성산읍 한도로 66,일반음식점,한식,제주특별자치도 서귀포시 성산읍 한도로 66,https://pcmap.place.naver.com/restaurant/16948039/review/visitor#
1347,알맞은시간,알맞은시간제주특별자치도 서귀포시 남원읍 신흥앞동산로35번길 2-1,일반음식점,경양식,제주특별자치도 서귀포시 남원읍 신흥앞동산로35번길 2-1,https://pcmap.place.naver.com/restaurant/1313429761/review/visitor#
1348,광성식당,광성식당제주특별자치도 서귀포시 안덕면 화순해안로106번길 12,일반음식점,한식,제주특별자치도 서귀포시 안덕면 화순해안로106번길 12,https://pcmap.place.naver.com/restaurant/1966260657/review/visitor#
1349,왕성참숯구이,왕성참숯구이제주특별자치도 서귀포시 성산읍 고성오조로 98-3,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 성산읍 고성오조로 98-3,https://pcmap.place.naver.com/restaurant/38508553/review/visitor#
1351,덕수아이흑돼지,덕수아이흑돼지제주특별자치도 서귀포시 안덕면 덕수회관로 88,일반음식점,한식,제주특별자치도 서귀포시 안덕면 덕수회관로 88,https://pcmap.place.naver.com/restaurant/1633575969/review/visitor#
1354,양자강,양자강제주특별자치도 서귀포시 안덕면 화순중앙로54번길 10,일반음식점,중국식,제주특별자치도 서귀포시 안덕면 화순중앙로54번길 10,https://pcmap.place.naver.com/restaurant/31001910/review/visitor#
1361,미소단밥,미소단밥제주특별자치도 서귀포시 성산읍 고성동서로45번길 2,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성동서로45번길 2,https://pcmap.place.naver.com/restaurant/1467796948/review/visitor#
1362,징차이짜장성산점,징차이짜장성산점제주특별자치도 서귀포시 성산읍 고성오조로 19,일반음식점,중국식,제주특별자치도 서귀포시 성산읍 고성오조로 19,https://pcmap.place.naver.com/restaurant/1639383443/review/visitor#
1363,서광로타리,서광로타리제주특별자치도 서귀포시 안덕면 화순서서로 492-9,일반음식점,한식,제주특별자치도 서귀포시 안덕면 화순서서로 492-9,https://pcmap.place.naver.com/restaurant/1166672043/review/visitor#
1365,어부피자,어부피자제주특별자치도 서귀포시 성산읍 서성일로 1078-14,일반음식점,한식,제주특별자치도 서귀포시 성산읍 서성일로 1078-14,https://pcmap.place.naver.com/restaurant/38339131/review/visitor#
1366,서중주막,서중주막제주특별자치도 서귀포시 남원읍 태위로 685-1,일반음식점,한식,제주특별자치도 서귀포시 남원읍 태위로 685-1,https://pcmap.place.naver.com/restaurant/1479024768/review/visitor#
1367,아담의갈비,아담의갈비제주특별자치도 서귀포시 김정문화로27번길 9-5 (강정동),일반음식점,한식,제주특별자치도 서귀포시 김정문화로27번길 9-5 (강정동),https://pcmap.place.naver.com/restaurant/1865600818/review/visitor#
1368,신양로118,신양로118제주특별자치도 서귀포시 성산읍 신양로 118,일반음식점,한식,제주특별자치도 서귀포시 성산읍 신양로 118,https://pcmap.place.naver.com/restaurant/1874564476/review/visitor#
1369,마돈,마돈제주특별자치도 서귀포시 성산읍 섭지코지로 56,일반음식점,한식,제주특별자치도 서귀포시 성산읍 섭지코지로 56,https://pcmap.place.naver.com/restaurant/36438568/review/visitor#
1371,큰집어멍,큰집어멍제주특별자치도 서귀포시 중문관광로 336 (대포동),일반음식점,한식,제주특별자치도 서귀포시 중문관광로 336 (대포동),https://pcmap.place.naver.com/restaurant/16929368/review/visitor#
1372,푸짐한밥상,푸짐한밥상제주특별자치도 서귀포시 중앙로 111 (서홍동),일반음식점,한식,제주특별자치도 서귀포시 중앙로 111 (서홍동),https://pcmap.place.naver.com/restaurant/16918514/review/visitor#
1373,동그라미가든,동그라미가든제주특별자치도 서귀포시 1100로 217 (회수동),일반음식점,한식,제주특별자치도 서귀포시 1100로 217 (회수동),https://pcmap.place.naver.com/restaurant/1444523233/review/visitor#
1374,혁이네식당,혁이네식당제주특별자치도 서귀포시 동홍중앙로 8 (동홍동),일반음식점,한식,제주특별자치도 서귀포시 동홍중앙로 8 (동홍동),https://pcmap.place.naver.com/restaurant/16909768/review/visitor#
1375,장가네일품순두부모슬포점,장가네일품순두부모슬포점제주특별자치도 서귀포시 대정읍 신영로 59,일반음식점,한식,제주특별자치도 서귀포시 대정읍 신영로 59,https://pcmap.place.naver.com/restaurant/1095753197/review/visitor#
1376,철이라멘1호점,철이라멘1호점제주특별자치도 서귀포시 태평로431번길 24 (서귀동),일반음식점,호프/통닭,제주특별자치도 서귀포시 태평로431번길 24 (서귀동),https://pcmap.place.naver.com/restaurant/1380221963/review/visitor#
1380,수리술술,수리술술제주특별자치도 서귀포시 명동로 44 (서귀동),일반음식점,한식,제주특별자치도 서귀포시 명동로 44 (서귀동),https://pcmap.place.naver.com/restaurant/21009409/review/visitor#
