,name,address
1915996,뽕뽕식당,"제주특별자치도 서귀포시 중앙로42번길 33, 1층 (서귀동)"
1916021,롯데리아서귀포점,제주특별자치도 서귀포시 중정로61번길 9 (서귀동)
1916123,레드피아노,"제주특별자치도 서귀포시 성산읍 일주동로 5185, 가동 1층"
1916161,카페꿈나다,"제주특별자치도 서귀포시 효돈순환로 441, 2층 (신효동)"
1916164,지에스25성산고성점,"제주특별자치도 서귀포시 성산읍 고성오조로 73, 1층"
1916184,파스쿠찌제주중문점,"제주특별자치도 서귀포시 천제연로232번길 15, 1층 (중문동)"
1916222,씨유서귀포남원길점,제주특별자치도 서귀포시 남원읍 태위로 481
1916232,카페바르,제주특별자치도 서귀포시 성산읍 환해장성로 941
1916414,카페테리아구상나무,"제주특별자치도 서귀포시 산록남로 2847-37, 1층 (상효동)"
1916670,하효통닭치킨,제주특별자치도 서귀포시 중정로73번길 4-1 (서귀동)
1916682,씨유서귀예래해안로점,"제주특별자치도 서귀포시 예래해안로 550, 1층 (상예동)"
1916692,도미노피자제주서귀포점,제주특별자치도 서귀포시 신서귀로 118 (서호동)
1916779,GS25서귀소원점,"제주특별자치도 서귀포시 중앙로 183, 1층 (서홍동)"
1916827,지에스25서귀동변점,"제주특별자치도 서귀포시 중앙로48번길 42, 1층 (서귀동)"
1916858,지에스25동홍중앙점,"제주특별자치도 서귀포시 태평로 509, 1층 101호 (동홍동)"
1916868,지에스25서귀광장점,"제주특별자치도 서귀포시 일주동로 8678, 1층 (동홍동)"
1916878,씨유서귀신북로점,"제주특별자치도 서귀포시 신서로98번길 74, 지하1층 (서호동)"
1916888,부티크카페온블루,제주특별자치도 서귀포시 성산읍 온평관전로 94
1917004,세븐일레븐서귀포오션팰리스점,"제주특별자치도 서귀포시 중앙로 14, 102호 (서귀동)"
1917014,버거나라남원점,제주특별자치도 서귀포시 남원읍 태위로 668
1917018,캐롤,"제주특별자치도 서귀포시 효돈로 137-1, 1층 (신효동)"
1917064,GS25쇠소깍점,제주특별자치도 서귀포시 쇠소깍로 151-8 (하효동)
1917112,세븐일레븐서귀포고성점,제주특별자치도 서귀포시 성산읍 고성동서로 66
1917156,고봉민김밥인서귀포강정점,"제주특별자치도 서귀포시 대청로25번길 4, 1층 (강정동, 102호)"
1917221,지에스25서귀엘지점,"제주특별자치도 서귀포시 중앙로 45, 1층 (서귀동)"
1917231,씨유중문일주서로점,제주특별자치도 서귀포시 일주서로 962 (색달동)
1917241,씨유제주성산중앙로점,제주특별자치도 서귀포시 성산읍 성산중앙로 44
1917261,씨유서귀포효돈중앙점,"제주특별자치도 서귀포시 과원동로 3, 102동 1층 101호 (하효동)"
1917271,슬아네가게,"제주특별자치도 서귀포시 남원읍 태위로 773-19, 1층"
1917285,씨유서귀포공업단지점,제주특별자치도 서귀포시 토평공단로 112 (토평동)
1917295,세븐일레븐성산일출점,"제주특별자치도 서귀포시 성산읍 일출로 284, 1층"
1917315,에그드랍제주중문점,"제주특별자치도 서귀포시 천제연로 198, 1층 108호 (중문동)"
1917439,씨유서귀포월드컵점,"제주특별자치도 서귀포시 명동로 19-1, CU 1층 (서귀동)"
1917449,세븐일레븐서귀포엉또폭포점,"제주특별자치도 서귀포시 중산간서로 184, 1층 (강정동)"
1917459,스터디카페꿈,"제주특별자치도 서귀포시 동홍서로112번길 1 (동홍동, 별내린주택)"
1917460,달콤한계단,"제주특별자치도 서귀포시 신서로 66, 지하1층 (강정동)"
1917501,씨유서귀포비석거리점,"제주특별자치도 서귀포시 일주동로 8493, 1층 (토평동)"
1917511,카페느루,"제주특별자치도 서귀포시 일주동로 8104, 1층 (하효동)"
1917521,더벤티동홍점,"제주특별자치도 서귀포시 동홍중앙로 70, 1층 (동홍동)"
1917531,청춘당꽈배기성산점,"제주특별자치도 서귀포시 성산읍 일주동로 4754, 1층 101호"
1917621,카페월든,"제주특별자치도 서귀포시 하원북로35번길 21, C동 1층 (하원동)"
1917627,율커피,"제주특별자치도 서귀포시 남원읍 태위로 507, 1층"
1917644,봉김밥.토스트,"제주특별자치도 서귀포시 토평로50번길 45, 1층 (토평동)"
1917670,지에스25서귀홍중점,"제주특별자치도 서귀포시 홍중로 57, 1층 (서홍동)"
1917682,더캠프PC서귀포본점,"제주특별자치도 서귀포시 김정문화로41번길 5-2, 3층 301~304호 (법환동)"
1917686,카페달곰,"제주특별자치도 서귀포시 이중섭로 4, 1층 (서귀동)"
1917690,지에스중문마을점,"제주특별자치도 서귀포시 천제연로207번길 18, 1층 (중문동)"
1917700,카페록키,"제주특별자치도 서귀포시 일주동로 9117, 1층 (법환동)"
1917793,단단한끼,"제주특별자치도 서귀포시 중앙로 113, 1층 102호 (서홍동)"
1917795,에그드랍서귀포중앙점,제주특별자치도 서귀포시 중앙로 72 (서귀동)
