,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
919,신성할망,신성할망제주특별자치도 제주시 신대로7길 23 (연동),일반음식점,한식,제주특별자치도 제주시 신대로7길 23 (연동),https://pcmap.place.naver.com/restaurant/32162520/review/visitor#
920,돈지정가든,돈지정가든제주특별자치도 제주시 한림읍 금악로 1-1,일반음식점,한식,제주특별자치도 제주시 한림읍 금악로 1-1,https://pcmap.place.naver.com/restaurant/16864578/review/visitor#
921,국수고을,국수고을제주특별자치도 제주시 삼성로 63 (일도이동),일반음식점,한식,제주특별자치도 제주시 삼성로 63 (일도이동),https://pcmap.place.naver.com/restaurant/512793867/review/visitor#
922,제라한,제라한제주특별자치도 제주시 정존1길 33 (노형동),일반음식점,한식,제주특별자치도 제주시 정존1길 33 (노형동),https://pcmap.place.naver.com/restaurant/13349757/review/visitor#
924,번영가든,번영가든제주특별자치도 제주시 번영로 553 (봉개동),일반음식점,한식,제주특별자치도 제주시 번영로 553 (봉개동),https://pcmap.place.naver.com/restaurant/1100575375/review/visitor#
925,제주도민상회본점,제주도민상회본점제주특별자치도 제주시 한림읍 한림로3길 8,일반음식점,한식,제주특별자치도 제주시 한림읍 한림로3길 8,https://pcmap.place.naver.com/restaurant/38265308/review/visitor#
928,괸당집신제주점,괸당집신제주점제주특별자치도 제주시 신광로4길 9 (연동),일반음식점,한식,제주특별자치도 제주시 신광로4길 9 (연동),https://pcmap.place.naver.com/restaurant/1088142357/review/visitor#
930,제주텐동,제주텐동제주특별자치도 제주시 중앙로 214,일반음식점,기타,제주특별자치도 제주시 중앙로 214,https://pcmap.place.naver.com/restaurant/1844580304/review/visitor#
931,유쾌육회,유쾌육회제주특별자치도 제주시 월랑로 16 (노형동,일반음식점,호프/통닭,제주특별자치도 제주시 월랑로 16 (노형동,https://pcmap.place.naver.com/restaurant/31809541/review/visitor#
932,주식한돈,주식한돈제주특별자치도 제주시 한림읍 한림서길 33,일반음식점,한식,제주특별자치도 제주시 한림읍 한림서길 33,https://pcmap.place.naver.com/restaurant/1642917789/review/visitor#
934,모던뽀이,모던뽀이제주특별자치도 제주시 신성로13길 4,일반음식점,호프/통닭,제주특별자치도 제주시 신성로13길 4,https://pcmap.place.naver.com/restaurant/1912362318/review/visitor#
936,한상,한상제주특별자치도 제주시 정원로 55,일반음식점,한식,제주특별자치도 제주시 정원로 55,https://pcmap.place.naver.com/restaurant/1750861932/review/visitor#
937,태돈가,태돈가제주특별자치도 제주시 무근성7길 37,일반음식점,한식,제주특별자치도 제주시 무근성7길 37,https://pcmap.place.naver.com/restaurant/1116701601/review/visitor#
938,오늘은와플데이,오늘은와플데이제주특별자치도 제주시 구좌읍 일주동로 2968,일반음식점,분식,제주특별자치도 제주시 구좌읍 일주동로 2968,https://pcmap.place.naver.com/restaurant/1497967736/review/visitor#
939,달치즈,달치즈제주특별자치도 제주시 구좌읍 해녀박물관길 35,일반음식점,호프/통닭,제주특별자치도 제주시 구좌읍 해녀박물관길 35,https://pcmap.place.naver.com/restaurant/1001027620/review/visitor#
940,명가돈까스,명가돈까스제주특별자치도 제주시 태성로2길 30-1,일반음식점,경양식,제주특별자치도 제주시 태성로2길 30-1,https://pcmap.place.naver.com/restaurant/37247547/review/visitor#
943,수구레해장국2호점,수구레해장국2호점제주특별자치도 제주시 비월길 7 (연동),일반음식점,한식,제주특별자치도 제주시 비월길 7 (연동),https://pcmap.place.naver.com/restaurant/674999100/review/visitor#
944,도두어부의밥상,도두어부의밥상제주특별자치도 제주시 서해안로 181,일반음식점,회집,제주특별자치도 제주시 서해안로 181,https://pcmap.place.naver.com/restaurant/1981580700/review/visitor#
945,털보,털보제주특별자치도 제주시 조천읍 신북로 554,일반음식점,한식,제주특별자치도 제주시 조천읍 신북로 554,https://pcmap.place.naver.com/restaurant/16885993/review/visitor#
947,보금,보금제주특별자치도 제주시 삼성로1길 35 (이도일동,일반음식점,한식,제주특별자치도 제주시 삼성로1길 35 (이도일동,https://pcmap.place.naver.com/restaurant/32151983/review/visitor#
950,옛날통닭외도점,옛날통닭외도점제주특별자치도 제주시 우정로 62 (외도일동),일반음식점,호프/통닭,제주특별자치도 제주시 우정로 62 (외도일동),https://pcmap.place.naver.com/restaurant/31070087/review/visitor#
952,수다,수다제주특별자치도 제주시 신대로14길 32 (연동),일반음식점,까페,제주특별자치도 제주시 신대로14길 32 (연동),https://pcmap.place.naver.com/restaurant/1433888403/review/visitor#
955,명물,명물제주특별자치도 제주시 탑동로11길 2-1,일반음식점,한식,제주특별자치도 제주시 탑동로11길 2-1,https://pcmap.place.naver.com/restaurant/38321252/review/visitor#
956,연동둘둘김밥,연동둘둘김밥제주특별자치도 제주시 국기로 21 (연동),일반음식점,김밥(도시락),제주특별자치도 제주시 국기로 21 (연동),https://pcmap.place.naver.com/restaurant/16824080/review/visitor#
957,현지통아귀찜,현지통아귀찜제주특별자치도 제주시 설촌로 12,일반음식점,한식,제주특별자치도 제주시 설촌로 12,https://pcmap.place.naver.com/restaurant/37408805/review/visitor#
959,어장관리,어장관리제주특별자치도 제주시 귀아랑길 23 (연동),일반음식점,식육(숯불구이),제주특별자치도 제주시 귀아랑길 23 (연동),https://pcmap.place.naver.com/restaurant/16855996/review/visitor#
